Ex,No,Item,Reflexive,Feature,Attractor,Surprisal
3A,47,The male applicant that the male colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,himself,0F,M,2.351036628
3A,47,The male applicant that the male colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,herself,1F,MM,3.778798587
3A,47,The male applicants that the male colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,herself,2F,MM,5.240519927
3A,47,The male applicant that the female colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,himself,0F,MM,2.539662649
3A,47,The male applicant that the female colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,herself,1F,M,3.630241658
3A,47,The male applicants that the female colleague recommended accidently embarrassed [MASK] at the corporate event hosted by the CEO. ,herself,2F,M,4.856583836
3A,48,The male audience that the male sopranist invited quietly amused [MASK] during the boring recital.,himself,0F,M,3.27797922
3A,48,The male audience that the male sopranist invited quietly amused [MASK] during the boring recital.,herself,1F,MM,3.862779492
3A,48,The male audiences that the male sopranist invited quietly amused [MASK] during the boring recital.,herself,2F,MM,4.366841043
3A,48,The male audience that the female sopranist invited quietly amused [MASK] during the boring recital.,himself,0F,MM,3.677498901
3A,48,The male audience that the female sopranist invited quietly amused [MASK] during the boring recital.,herself,1F,M,3.256165519
3A,48,The male audiences that the female sopranist invited quietly amused [MASK] during the boring recital.,herself,2F,M,3.949510584
3A,49,The male officer that the male criminal attacked courageously defended [MASK].,himself,0F,M,0.0835131
3A,49,The male officer that the male criminal attacked courageously defended [MASK].,herself,1F,MM,3.469420264
3A,49,The male officers that the male criminal attacked courageously defended [MASK].,herself,2F,MM,6.655668091
3A,49,The male officer that the female criminal attacked courageously defended [MASK].,himself,0F,MM,0.128133993
3A,49,The male officer that the female criminal attacked courageously defended [MASK].,herself,1F,M,2.753239936
3A,49,The male officers that the female criminal attacked courageously defended [MASK].,herself,2F,M,5.914925396
3A,50,The male senator that the male supporter upheld often reminded [MASK] about the promises made on the campaign trail.,himself,0F,M,6.413015777
3A,50,The male senator that the male supporter upheld often reminded [MASK] about the promises made on the campaign trail.,herself,1F,MM,8.378725616
3A,50,The male senators that the male supporter upheld often reminded [MASK] about the promises made on the campaign trail.,herself,2F,MM,9.019383818
3A,50,The male senator that the female supporter upheld often reminded [MASK] about the promises made on the campaign trail.,himself,0F,MM,6.736584231
3A,50,The male senator that the female supporter upheld often reminded [MASK] about the promises made on the campaign trail.,herself,1F,M,7.600435261
3A,50,The male senators that the female supporter upheld often reminded [MASK] about the promises made on the campaign trail.,herself,2F,M,8.298069161
3A,51,The actor that the male writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,himself,0F,M,1.800469858
3A,51,The actor that the male writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,herself,1F,MM,4.845749825
3A,51,The actors that the male writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,herself,2F,MM,5.32941334
3A,51,The actor that the female writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,himself,0F,MM,2.745970105
3A,51,The actor that the female writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,herself,1F,M,3.143463025
3A,51,The actors that the female writer cast recently forgave [MASK] for not doing something about the harassment from the inconsiderate director. ,herself,2F,M,3.847462327
3A,52,The male senator that the male environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,himself,0F,M,3.542430134
3A,52,The male senator that the male environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,herself,1F,MM,5.521852273
3A,52,The male senators that the male environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,herself,2F,MM,6.276741134
3A,52,The male senator that the female environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,himself,0F,MM,4.240431034
3A,52,The male senator that the female environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,herself,1F,M,4.8879125
3A,52,The male senators that the female environmentalist voted for often doubted [MASK] after making a controversial decision about birth control.,herself,2F,M,5.537562317
3A,53,The male priest that the male volunteer prayed with often doubted [MASK] for the movement. ,himself,0F,M,4.272376464
3A,53,The male priest that the male volunteer prayed with often doubted [MASK] for the movement. ,herself,1F,MM,7.933455887
3A,53,The male priests that the male volunteer prayed with often doubted [MASK] for the movement. ,herself,2F,MM,8.636372501
3A,53,The male priest that the female volunteer prayed with often doubted [MASK] for the movement. ,himself,0F,MM,4.598552859
3A,53,The male priest that the female volunteer prayed with often doubted [MASK] for the movement. ,herself,1F,M,7.366735646
3A,53,The male priests that the female volunteer prayed with often doubted [MASK] for the movement. ,herself,2F,M,8.217398551
3A,54,The actor that the male child liked intentionally portrayed [MASK] as a kind person during the TV interview. ,himself,0F,M,1.449398539
3A,54,The actor that the male child liked intentionally portrayed [MASK] as kind persons during the TV interview. ,herself,1F,MM,6.787816678
3A,54,The actors that the male child liked intentionally portrayed [MASK] as kind persons during the TV interview. ,herself,2F,MM,6.535698637
3A,54,The actor that the female child liked intentionally portrayed [MASK] as a kind person during the TV interview. ,himself,0F,MM,1.743648932
3A,54,The actor that the female child liked intentionally portrayed [MASK] as kind persons during the TV interview. ,herself,1F,M,5.828340601
3A,54,The actors that the female child liked intentionally portrayed [MASK] as kind persons during the TV interview. ,herself,2F,M,5.62898509
3A,55,The male researcher that the male professor scout proudly praised [MASK] for a job well done.,himself,0F,M,4.576778106
3A,55,The male researcher that the male professor scout proudly praised [MASK] for a job well done.,herself,1F,MM,6.869603177
3A,55,The male researchers that the male professor scout proudly praised [MASK] for a job well done.,herself,2F,MM,7.356039784
3A,55,The male researcher that the female professor scout proudly praised [MASK] for a job well done.,himself,0F,MM,4.92655788
3A,55,The male researcher that the female professor scout proudly praised [MASK] for a job well done.,herself,1F,M,6.332962865
3A,55,The male researchers that the female professor scout proudly praised [MASK] for a job well done.,herself,2F,M,6.517391436
3A,56,The male passenger who the male pilot scared injured [MASK] quite badly during the journey.,himself,0F,M,0.533840049
3A,56,The male passenger who the male pilot scared injured [MASK] quite badly during the journey.,herself,1F,MM,2.927853396
3A,56,The male passengers who the male pilot scared injured [MASK] quite badly during the journey.,herself,2F,MM,5.835898129
3A,56,The male passenger who the female pilot scared injured [MASK] quite badly during the journey.,himself,0F,MM,1.324163965
3A,56,The male passenger who the female pilot scared injured [MASK] quite badly during the journey.,herself,1F,M,2.882020447
3A,56,The male passengers who the female pilot scared injured [MASK] quite badly during the journey.,herself,2F,M,5.668631727
3A,57,The male pedestrian that the male firefighter saved had cut [MASK] on a piece of broken glass.,himself,0F,M,0.494461555
3A,57,The male pedestrian that the male firefighter saved had cut [MASK] on a piece of broken glass.,herself,1F,MM,2.800751207
3A,57,The male pedestrians that the male firefighter saved had cut [MASK] on a piece of broken glass.,herself,2F,MM,2.830561169
3A,57,The male pedestrian that the female firefighter saved had cut [MASK] on a piece of broken glass.,himself,0F,MM,0.473467456
3A,57,The male pedestrian that the female firefighter saved had cut [MASK] on a piece of broken glass.,herself,1F,M,2.743321064
3A,57,The male pedestrians that the female firefighter saved had cut [MASK] on a piece of broken glass.,herself,2F,M,2.556459381
3A,58,The male patient that the male surgeon treated had pricked [MASK] with a used syringe needle.,himself,0F,M,2.255008206
3A,58,The male patient that the male surgeon treated had pricked [MASK] with a used syringe needle.,herself,1F,MM,4.792097602
3A,58,The male patients that the male surgeon treated had pricked [MASK] with a used syringe needle.,herself,2F,MM,5.130426683
3A,58,The male patient that the female surgeon treated had pricked [MASK] with a used syringe needle.,himself,0F,MM,2.218165934
3A,58,The male patient that the female surgeon treated had pricked [MASK] with a used syringe needle.,herself,1F,M,4.239788665
3A,58,The male patients that the female surgeon treated had pricked [MASK] with a used syringe needle.,herself,2F,M,4.66681316
3A,59,The male colleague that the male undertaker worked with whispered to [MASK] all the time with a grimace.,himself,0F,M,3.348534142
3A,59,The male colleague that the male undertaker worked with whispered to [MASK] all the time with a grimace.,herself,1F,MM,4.182762708
3A,59,The male colleagues that the male undertaker worked with whispered to [MASK] all the time with a grimace.,herself,2F,MM,4.2306733
3A,59,The male colleague that the female undertaker worked with whispered to [MASK] all the time with a grimace.,himself,0F,MM,3.580108982
3A,59,The male colleague that the female undertaker worked with whispered to [MASK] all the time with a grimace.,herself,1F,M,3.658263702
3A,59,The male colleagues that the female undertaker worked with whispered to [MASK] all the time with a grimace.,herself,2F,M,3.914439784
3A,60,The male footballer that the male coach talked to had taught [MASK] to paint the lines on the pitch.,himself,0F,M,4.929077854
3A,60,The male footballer that the male coach talked to had taught [MASK] to paint the lines on the pitch.,herself,1F,MM,6.944140629
3A,60,The male footballers that the male coach talked to had taught [MASK] to paint the lines on the pitch.,herself,2F,MM,7.453575024
,60,The male footballer that the female coach talked to had taught [MASK] to paint the lines on the pitch.,himself,0F,MM,5.118304656
3A,60,The male footballer that the female coach talked to had taught [MASK] to paint the lines on the pitch.,herself,1F,M,6.127893917
3A,60,The male footballers that the female coach talked to had taught [MASK] to paint the lines on the pitch.,herself,2F,M,6.457038454
3A,61,The male porter that the male passenger met had upset [MASK] quite a lot about all the luggage.,himself,0F,M,5.795495412
3A,61,The male porter that the male passenger met had upset [MASK] quite a lot about all the luggage.,herself,1F,MM,8.23479742
3A,61,The male porters that the male passenger met had upset [MASK] quite a lot about all the luggage.,herself,2F,MM,8.163622279
,61,The male porter that the female passenger met had upset [MASK] quite a lot about all the luggage.,himself,0F,MM,6.152445735
3A,61,The male porter that the female passenger met had upset [MASK] quite a lot about all the luggage.,herself,1F,M,7.59995622
3A,61,The male porters that the female passenger met had upset [MASK] quite a lot about all the luggage.,herself,2F,M,7.358647681
3A,62,The male judge that the male victim impressed disciplined [MASK] very carefully all the time.,himself,0F,M,4.111747626
3A,62,The male judge that the male victim impressed disciplined [MASK] very carefully all the time.,herself,1F,MM,7.056071745
3A,62,The male judges that the male victim impressed disciplined [MASK] very carefully all the time.,herself,2F,MM,12.45635221
,62,The male judge that the female victim impressed disciplined [MASK] very carefully all the time.,himself,0F,MM,4.042600397
3A,62,The male judge that the female victim impressed disciplined [MASK] very carefully all the time.,herself,1F,M,6.41668479
3A,62,The male judges that the female victim impressed disciplined [MASK] very carefully all the time.,herself,2F,M,11.89985911
3A,63,The male engineer that the male boss visited convinced [MASK] that the valve was faulty.,himself,0F,M,4.731978492
3A,63,The male engineer that the male boss visited convinced [MASK] that the valve was faulty.,herself,1F,MM,7.92662386
3A,63,The male engineers that the male boss visited convinced [MASK] that the valve was faulty.,herself,2F,MM,8.102193856
3A,63,The male engineer that the female boss visited convinced [MASK] that the valve was faulty.,himself,0F,MM,5.28235437
3A,63,The male engineer that the female boss visited convinced [MASK] that the valve was faulty.,herself,1F,M,6.8811575
3A,63,The male engineers that the female boss visited convinced [MASK] that the valve was faulty.,herself,2F,M,7.083854417
3A,64,The male bricklayer that the male director annoyed lied about [MASK] damaging the tools in the shed.,himself,0F,M,6.509946765
3A,64,The male bricklayer that the male director annoyed lied about [MASK] damaging the tools in the shed.,herself,1F,MM,8.416019867
3A,64,The male bricklayers that the male director annoyed lied about [MASK] damaging the tools in the shed.,herself,2F,MM,9.210357537
3A,64,The male bricklayer that the female director annoyed lied about [MASK] damaging the tools in the shed.,himself,0F,MM,6.723842492
3A,64,The male bricklayer that the female director annoyed lied about [MASK] damaging the tools in the shed.,herself,1F,M,8.102699155
3A,64,The male bricklayers that the female director annoyed lied about [MASK] damaging the tools in the shed.,herself,2F,M,8.667041719
3A,65,The male electrician that the male colleague called on owed [MASK] another attempt to solve the problem.,himself,0F,M,5.793169736
3A,65,The male electrician that the male colleague called on owed [MASK] another attempt to solve the problem.,herself,1F,MM,7.916614008
3A,65,The male electricians that the male colleague called on owed [MASK] another attempt to solve the problem.,herself,2F,MM,8.62401072
3A,65,The male electrician that the female colleague called on owed [MASK] another attempt to solve the problem.,himself,0F,MM,6.057099431
3A,65,The male electrician that the female colleague called on owed [MASK] another attempt to solve the problem.,herself,1F,M,7.572920502
3A,65,The male electricians that the female colleague called on owed [MASK] another attempt to solve the problem.,herself,2F,M,8.165622239
3A,66,The male paratrooper that the male soldier drank with had awarded [MASK] the top prize in the pub quiz.,himself,0F,M,4.454351873
3A,66,The male paratrooper that the male soldier drank with had awarded [MASK] the top prize in the pub quiz.,herself,1F,MM,7.058912958
3A,66,The male paratroopers that the male soldier drank with had awarded [MASK] the top prize in the pub quiz.,herself,2F,MM,7.891419474
3A,66,The male paratrooper that the female soldier drank with had awarded [MASK] the top prize in the pub quiz.,himself,0F,MM,4.700516706
3A,66,The male paratrooper that the female soldier drank with had awarded [MASK] the top prize in the pub quiz.,herself,1F,M,6.236964319
3A,66,The male paratroopers that the female soldier drank with had awarded [MASK] the top prize in the pub quiz.,herself,2F,M,6.87404339
3A,67,The male farmer that the male villager spoke to had paid for [MASK] to join the local fox hunt.,himself,0F,M,6.281925787
3A,67,The male farmer that the male villager spoke to had paid for [MASK] to join the local fox hunt.,herself,1F,MM,8.318253132
3A,67,The male farmers that the male villager spoke to had paid for [MASK] to join the local fox hunt.,herself,2F,MM,10.05034907
3A,67,The male farmer that the female villager spoke to had paid for [MASK] to join the local fox hunt.,himself,0F,MM,7.315059931
3A,67,The male farmer that the female villager spoke to had paid for [MASK] to join the local fox hunt.,herself,1F,M,7.51773429
3A,67,The male farmers that the female villager spoke to had paid for [MASK] to join the local fox hunt.,herself,2F,M,8.695396337
3A,68,The male nurse that the male journalist interviewed criticized [MASK] for being late for the appointment.,himself,0F,M,5.64132055
3A,68,The male nurse that the male journalist interviewed criticized [MASK] for being late for the appointment.,herself,1F,MM,6.122484976
3A,68,The male nurses that the male journalist interviewed criticized [MASK] for being late for the appointment.,herself,2F,MM,6.602925563
3A,68,The male nurse that the female journalist interviewed criticized [MASK] for being late for the appointment.,himself,0F,MM,5.935014484
3A,68,The male nurse that the female journalist interviewed criticized [MASK] for being late for the appointment.,herself,1F,M,5.791661885
3A,68,The male nurses that the female journalist interviewed criticized [MASK] for being late for the appointment.,herself,2F,M,6.215900896
3A,69,The male receptionist that the male guest phoned almost killed [MASK] in early May for no reason.,himself,0F,M,4.55342322
3A,69,The male receptionist that the male guest phoned almost killed [MASK] in early May for no reason.,herself,1F,MM,5.345443023
3A,69,The male receptionists that the male guest phoned almost killed [MASK] in early May for no reason.,herself,2F,MM,6.490441296
3A,69,The male receptionist that the female guest phoned almost killed [MASK] in early May for no reason.,himself,0F,MM,4.503991399
3A,69,The male receptionist that the female guest phoned almost killed [MASK] in early May for no reason.,herself,1F,M,4.947158459
3A,69,The male receptionists that the female guest phoned almost killed [MASK] in early May for no reason.,herself,2F,M,5.92010961
3A,70,The male secretary that the male boss praised had treated [MASK] to several cakes with pink icing.,himself,0F,M,5.282702979
3A,70,The male secretary that the male boss praised had treated [MASK] to several cakes with pink icing.,herself,1F,MM,5.221110766
3A,70,The male secretaries that the male boss praised had treated [MASK] to several cakes with pink icing.,herself,2F,MM,5.79494617
3A,70,The male secretary that the female boss praised had treated [MASK] to several cakes with pink icing.,himself,0F,MM,5.075123942
3A,70,The male secretary that the female boss praised had treated [MASK] to several cakes with pink icing.,herself,1F,M,5.011696512
3A,70,The male secretaries that the female boss praised had treated [MASK] to several cakes with pink icing.,herself,2F,M,5.545743189
3A,71,The male ballet dancer that the male director invited introduced [MASK] to all the stars from Hollywood.,himself,0F,M,4.781670886
3A,71,The male ballet dancer that the male director invited introduced [MASK] to all the stars from Hollywood.,herself,1F,MM,6.11875996
3A,71,The male ballet dancers that the male director invited introduced [MASK] to all the stars from Hollywood.,herself,2F,MM,7.117673839
3A,71,The male ballet dancer that the female director invited introduced [MASK] to all the stars from Hollywood.,himself,0F,MM,5.46478456
3A,71,The male ballet dancer that the female director invited introduced [MASK] to all the stars from Hollywood.,herself,1F,M,5.680688833
3A,71,The male ballet dancers that the female director invited introduced [MASK] to all the stars from Hollywood.,herself,2F,M,6.739731345
3A,72,The male cook that the male babysitter cheated would blame [MASK] for the children¡¯s bad diet.,himself,0F,M,2.688574638
3A,72,The male cook that the male babysitter cheated would blame [MASK] for the children¡¯s bad diet.,herself,1F,MM,3.480644551
3A,72,The male cooks that the male babysitter cheated would blame [MASK] for the children¡¯s bad diet.,herself,2F,MM,3.895100295
3A,72,The male cook that the female babysitter cheated would blame [MASK] for the children¡¯s bad diet.,himself,0F,MM,2.823273104
3A,72,The male cook that the female babysitter cheated would blame [MASK] for the children¡¯s bad diet.,herself,1F,M,3.296966008
3A,72,The male cooks that the female babysitter cheated would blame [MASK] for the children¡¯s bad diet.,herself,2F,M,3.775755467
3A,73,The male beautician that the male client mistrusted disliked [MASK] quite a lot.,himself,0F,M,6.142344931
3A,73,The male beautician that the male client mistrusted disliked [MASK] quite a lot.,herself,1F,MM,7.596278931
3A,73,The male beauticians that the male client mistrusted disliked [MASK] quite a lot.,herself,2F,MM,9.29975027
3A,73,The male beautician that the female client mistrusted disliked [MASK] quite a lot.,himself,0F,MM,6.292784992
3A,73,The male beautician that the female client mistrusted disliked [MASK] quite a lot.,herself,1F,M,7.590510305
3A,73,The male beauticians that the female client mistrusted disliked [MASK] quite a lot.,herself,2F,M,9.134253363
3A,74,The male dressmaker that the male employer employed familiarised [MASK] with all the modern styles.,himself,0F,M,1.267244344
3A,74,The male dressmaker that the male employer employed familiarised [MASK] with all the modern styles.,herself,1F,MM,3.177954624
3A,74,The male dressmakers that the male employer employed familiarised [MASK] with all the modern styles.,herself,2F,MM,7.906434474
3A,74,The male dressmaker that the female employer employed familiarised [MASK] with all the modern styles.,himself,0F,MM,2.232295753
3A,74,The male dressmaker that the female employer employed familiarised [MASK] with all the modern styles.,herself,1F,M,2.018185384
3A,74,The male dressmakers that the female employer employed familiarised [MASK] with all the modern styles.,herself,2F,M,6.713833867
3A,75,The male spy that the male executive scared had cut [MASK] with a rusty razor blade.,himself,0F,M,2.389644806
3A,75,The male spy that the male executive scared had cut [MASK] with a rusty razor blade.,herself,1F,MM,4.040804035
3A,75,The male spies that the male executive scared had cut [MASK] with a rusty razor blade.,herself,2F,MM,4.08642088
3A,75,The male spy that the female executive scared had cut [MASK] with a rusty razor blade.,himself,0F,MM,2.128800846
3A,75,The male spy that the female executive scared had cut [MASK] with a rusty razor blade.,herself,1F,M,3.467143524
3A,75,The male spies that the female executive scared had cut [MASK] with a rusty razor blade.,herself,2F,M,3.517413544
3A,76,The male spectator that the male referee stood near had made a fool of [MASK] in front of the players.,himself,0F,M,0.116534254
3A,76,The male spectator that the male referee stood near had made a fool of [MASK] in front of the player.,herself,1F,MM,2.71062508
3A,76,The male spectators that the male referee stood near had made a fool of [MASK] in front of the players.,herself,2F,MM,4.865720469
3A,76,The male spectator that the female referee stood near had made a fool of [MASK] in front of the players.,himself,0F,MM,0.642933503
3A,76,The male spectator that the female referee stood near had made a fool of [MASK] in front of the player.,herself,1F,M,1.008086833
3A,76,The male spectators that the female referee stood near had made a fool of [MASK] in front of the players.,herself,2F,M,3.456522197
3A,77,The male cleaner that the male tenant liked was proud of [MASK] and really liked doing the job.,himself,0F,M,1.384397558
3A,77,The male cleaner that the male tenant liked was proud of [MASK] and really liked doing the job.,herself,1F,MM,3.995838206
3A,77,The male cleaners that the male tenant liked was proud of [MASK] and really liked doing the job.,herself,2F,MM,4.814371699
3A,77,The male cleaner that the female tenant liked was proud of [MASK] and really liked doing the job.,himself,0F,MM,1.766506721
3A,77,The male cleaner that the female tenant liked was proud of [MASK] and really liked doing the job.,herself,1F,M,3.228678304
3A,77,The male cleaners that the female tenant liked was proud of [MASK] and really liked doing the job.,herself,2F,M,3.694750455
3A,78,The male worker that the male colleague helped was comfortable with [MASK] in the large remote house.,himself,0F,M,5.538922826
3A,78,The male worker that the male colleague helped was comfortable with [MASK] in the large remote house.,herself,1F,MM,7.441282385
3A,78,The male workers that the male colleague helped was comfortable with [MASK] in the large remote house.,herself,2F,MM,8.275846442
3A,78,The male worker that the female colleague helped was comfortable with [MASK] in the large remote house.,himself,0F,MM,5.943356714
3A,78,The male worker that the female colleague helped was comfortable with [MASK] in the large remote house.,herself,1F,M,7.330855593
3A,78,The male workers that the female colleague helped was comfortable with [MASK] in the large remote house.,herself,2F,M,8.023130426
3A,79,The male typist that the male lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,himself,0F,M,2.636547327
3A,79,The male typist that the male lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,herself,1F,MM,5.081162677
3A,79,The male typists that the male lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,herself,2F,MM,6.912547084
3A,79,The male typist that the female lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,himself,0F,MM,3.106437208
3A,79,The male typist that the female lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,herself,1F,M,4.665359329
3A,79,The male typists that the female lawyer insulted didn¡¯t trust [MASK] very much with the new photocopier.,herself,2F,M,6.509336176
